VILLARREAL C.F. B,0 - 0 ,F.C. BARCELONA B
"S.D. HUESCA, SAD",0 - 0 ,"C.E. SABADELL F.C., SAD."
"XEREZ C.D., S.A.D.",2 - 2 ,A.D. ALCORCON
"U.D. LAS PALMAS, SAD",3 - 2 ,C.D. GUADALAJARA
"C.D. NUMANCIA DE SORIA, SAD",2 - 0 ,C.D. ALCOYANO
"REAL VALLADOLID C.F., SAD",4 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"U.D. ALMERIA, SAD",2 - 1 ,"CORDOBA C.F., SAD"
"ELCHE C.F., SAD",1 - 0 ,"GIRONA F.C., SAD"
"R.C. CELTA DE VIGO, SAD",1 - 0 ,REAL MURCIA C.F. SAD
Resultados Temporada 2011/2012 - Jornada Nº 26 (Fecha: 26/02/2012),,
Equipo Local,Marcador,Equipo Visitante
F.C. BARCELONA B,0 - 1 ,"HERCULES C.F., SAD"
"C.E. SABADELL F.C., SAD.",1 - 0 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
A.D. ALCORCON,1 - 0 ,"F.C. CARTAGENA, SAD"
C.D. GUADALAJARA,0 - 2 ,VILLARREAL C.F. B
C.D. ALCOYANO,0 - 3 ,"S.D. HUESCA, SAD"
"GIMNASTIC DE TARRAGONA, SAD",0 - 1 ,"XEREZ C.D., S.A.D."
"CORDOBA C.F., SAD",1 - 0 ,"U.D. LAS PALMAS, SAD"
"GIRONA F.C., SAD",2 - 0 ,"C.D. NUMANCIA DE SORIA, SAD"
REAL MURCIA C.F. SAD,2 - 0 ,"REAL VALLADOLID C.F., SAD"
"R.C. CELTA DE VIGO, SAD",4 - 3 ,"U.D. ALMERIA, SAD"
"ELCHE C.F., SAD",0 - 3 ,"R.C.RVO. DE HUELVA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 27 (Fecha: 04/03/2012),,
Equipo Local,Marcador,Equipo Visitante
"R.C.RVO. DE HUELVA, SAD",0 - 0 ,F.C. BARCELONA B
"HERCULES C.F., SAD",1 - 0 ,"C.E. SABADELL F.C., SAD."
"R.C. DEPORTIVO DE LA CORUÑA, SAD",2 - 1 ,A.D. ALCORCON
"F.C. CARTAGENA, SAD",0 - 2 ,C.D. GUADALAJARA
VILLARREAL C.F. B,4 - 3 ,C.D. ALCOYANO
"S.D. HUESCA, SAD",0 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"XEREZ C.D., S.A.D.",1 - 2 ,"CORDOBA C.F., SAD"
"U.D. LAS PALMAS, SAD",3 - 2 ,"GIRONA F.C., SAD"
"C.D. NUMANCIA DE SORIA, SAD",1 - 0 ,REAL MURCIA C.F. SAD
"REAL VALLADOLID C.F., SAD",1 - 2 ,"R.C. CELTA DE VIGO, SAD"
"U.D. ALMERIA, SAD",0 - 2 ,"ELCHE C.F., SAD"
Resultados Temporada 2011/2012 - Jornada Nº 28 (Fecha: 11/03/2012),,
Equipo Local,Marcador,Equipo Visitante
"C.E. SABADELL F.C., SAD.",0 - 0 ,F.C. BARCELONA B
A.D. ALCORCON,1 - 0 ,"HERCULES C.F., SAD"
C.D. GUADALAJARA,1 - 2 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
C.D. ALCOYANO,2 - 2 ,"F.C. CARTAGENA, SAD"
