Jornada 1,,,,,,,,,,,
Espanyol,0 - 1,,Real Madrid,,Cornellà-El Prat,,,,21:00,,Canal+
Mallorca,1 - 0,,Athletic,,Iberostar Estadi,,14 de febrero,,21:00,,Gol T / Taquilla 8
Jornada 24,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Valencia,0 - 0,,Sporting,,Mestalla,,19 de febrero,,18:00,,Gol T / C+ Liga
Real Madrid,2 - 0,,Levante,,Santiago Bernabéu,,,,20:00,,Gol T / C+ Liga
Zaragoza,0 - 1,,At. Madrid,,La Romareda,,,,22:00,,laSexta / TM / TV3 / TPA7 / IB3
Getafe,0 - 1,,Racing,,Coliseum Alfonso Pérez,,20 de febrero,,17:00,,Taquilla 5
Villarreal,1 - 1,,Málaga,,El Madrigal,,,,,,Taquilla 6
Almería,1 - 1,,Deportivo,,Juegos Mediterráneos,,,,,,Taquilla 7
Osasuna,4 - 0,,Espanyol,,Reyno de Navarra,,,,,,Taquilla 8
Sevilla,1 - 0,,Hércules,,Ramón Sánchez Pizjuán,,,,19:00,,Gol T / C+ Liga
Barcelona,2 - 1,,Athletic,,Camp Nou,,,,21:00,,Canal+
Real Sociedad,1 - 0,,Mallorca,,Anoeta,,21 de febrero,,21:00,,Gol T / Taquilla 8
Jornada 25,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Sporting,0 - 0,,Zaragoza,,El Molinón,,26 de febrero,,18:00,,Taquilla 7
At. Madrid,2 - 2,,Sevilla,,Vicente Calderón,,,,,,Gol T / C+ Liga
Espanyol,4 - 1,,Real Sociedad,,Cornellà-El Prat,,,,,,Taquilla 8
Mallorca,0 - 3,,Barcelona,,Iberostar Estadi,,,,20:00,,Gol T / C+ Liga
Deportivo,0 - 0,,Real Madrid,,Riazor,,,,22:00,,laSexta / TM / TPA7 / TV3 / IB3
Hércules,0 - 0,,Getafe,,José Rico Pérez,,27 de febrero,,17:00,,Taquilla 7
Levante,2 - 1,,Osasuna,,Ciutat de València,,,,,,Taquilla 8
Racing,2 - 2,,Villarreal,,El Sardinero,,,,19:00,,Gol T / C+ Liga
Athletic,1 - 2,,Valencia,,San Mamés,,,,21:00,,Canal+
Málaga,3 - 1,,Almería,,La Rosaleda,,28 de febrero,,21:00,,Gol T / Taquilla 8
Jornada 26,,,,,,,,,,,
Local,Resultado,Visitante,,Estadio,,Fecha,,Hora,,Directo TV,
Espanyol,1 - 2,Mallorca,,Cornellà-El Prat,,1 de marzo,,20:00,,Gol T / Taquilla 8,
Sevilla,3 - 0,Sporting,,Ramón Sánchez Pizjuán,,,,22:00,,Gol T / C+ Liga,
Zaragoza,2 - 1,Athletic,,La Romareda,,2 de marzo,,20:00,,Gol T / C+ Liga,
Getafe,1 - 1,At. Madrid,,Coliseum Alfonso Pérez,,,,,,Canal+,
Villarreal,1 - 0,Hércules,,El Madrigal,,,,,,Taquilla 6,
Osasuna,0 - 0,Deportivo,,Reyno de Navarra,,,,,,Taquilla 7,
Real Sociedad,1 - 1,Levante,,Anoeta,,,,,,Taquilla 8,
Valencia,0 - 1,Barcelona,,Mestalla,,,,22:00,,laSexta / TV3 / IB3 / TM / TPA7,
Almería,1 - 1,Racing,,Juegos Mediterráneos,,3 de marzo,,20:00,,Taquilla 8,
Real Madrid,7 - 0,Málaga,,Santiago Bernabéu,,,,22:00,,Gol T / C+ Liga,
Jornada 27,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Mallorca,1 - 2,,Valencia,,Iberostar Estadi,,5 de marzo,,18:00,,Gol T / C+ Liga
Barcelona,1 - 0,,Zaragoza,,Camp Nou,,,,20:00,,Gol T / C+ Liga
At. Madrid,3 - 1,,Villarreal,,Vicente Calderón,,,,22:00,,laSexta / TM / TV3 / IB3 / TPA7
Sporting,2 - 0,,Getafe,,El Molinón,,6 de marzo,,17:00,,Taquilla 5
Hércules,1 - 2,,Almería,,José Rico Pérez,,,,,,Taquilla 6
Málaga,0 - 1,,Osasuna,,La Rosaleda,,,,,,Taquilla 7
Levante,1 - 0,,Espanyol,,Ciutat de València,,,,,,Taquilla 8
