Jornada 1,,,,,,
Rayo Vallecano,1 - 0,AD Alcorcón,Teresa Rivero,,,LaOtra / tvG2 / C9 2
Albacete,1 - 1,Valladolid,Carlos Belmonte,,,
UD Las Palmas,1 - 1,Recreativo,Gran Canaria,,21:00,
Celta de Vigo,1 - 2,SD Huesca,Balaídos,3 de marzo,20:00,Gol T / C+ Liga
SD Ponferradina,1 - 1,Real Betis,El Toralín,,,Canal+
Jornada 28,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Villarreal B,1 - 2,Rayo Vallecano,Ciudad Deportiva,5 de marzo,16:00,Marca TV
Nàstic,2 - 0,FC Cartagena,Nou Estadi,,18:00,Esport3 / 7RM
Granada CF,0 - 1,UD Salamanca,Nuevo Los Cármenes,,,CS2 / LaOtra / ETB 1 / TVC2
Albacete,0 - 2,Elche CF,Carlos Belmonte,,,CMT / C9 2 / tvG2
